[2024-01-16T00:32:38.213Z] [ERROR]: Erro ao conectar ao banco de dados:
[2024-01-16T00:35:21.643Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T00:36:42.148Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T00:38:20.289Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T00:40:29.108Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T00:41:33.952Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T00:44:24.342Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T00:46:27.052Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T00:52:09.872Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T00:52:42.825Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T00:53:48.720Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T00:54:18.858Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T00:57:32.389Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T00:57:46.941Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T01:01:29.655Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T01:04:37.387Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T01:08:13.433Z] [INFO]: Conexão bem-sucedida com o banco de dados
[2024-01-16T01:09:45.474Z] [INFO]: Conexão bem-sucedida com o banco de dados
